# symbol=APRUSDT,side=SHORT,entry_price=0.17364,exit_price=0.17378,exit_reason=strategy_stop,sl_price=0.17468183999999998,tp_price=0.17103539999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775188125.528,0.0,0.17364,0.0
1775188139.219,13.7,0.17364,0.0
1775188140.516,15.0,0.17357,0.4031
1775188141.669,16.1,0.17371,-0.4031
1775188151.259,25.7,0.17363,0.0576
1775188152.979,27.5,0.17366,-0.1152
1775188155.584,30.1,0.17367,-0.1728
1775188157.422,31.9,0.17368,-0.2304
1775188158.555,33.0,0.17371,-0.4031
1775188165.685,40.2,0.17376,-0.6911
1775188186.802,61.3,0.17374,-0.5759
1775188193.366,67.8,0.17374,-0.5759
1775188196.778,71.2,0.17376,-0.6911
1775188200.482,75.0,0.17374,-0.5759
1775188205.684,80.2,0.17372,-0.4607
1775188206.774,81.2,0.17376,-0.6911
1775188207.897,82.4,0.17384,-1.1518
1775188209.203,83.7,0.17385,-1.2094
1775188211.23,85.7,0.17391,-1.5549
1775188212.329,86.8,0.17398,-1.9581
1775188213.451,87.9,0.17406,-2.4188
1775188215.279,89.8,0.17412,-2.7643
1775188221.783,96.3,0.17419,-3.1675
1775188232.578,107.0,0.17419,-3.1675
1775188245.447,119.9,0.17418,-3.1099
1775188247.607,122.1,0.17403,-2.246
1775188251.551,126.0,0.17408,-2.534
1775188260.353,134.8,0.17407,-2.4764
1775188267.023,141.5,0.17391,-1.5549
1775188267.893,142.4,0.17378,-0.8063
