# symbol=ASTERUSDT,side=SHORT,entry_price=0.666,exit_price=0.6659,exit_reason=lifecycle_reversal,sl_price=0.669996,tp_price=0.65601,leverage=10
ts,seconds,price,ret_margin_pct
1775187836.98,0.0,0.666,0.0
1775187839.67,2.7,0.6659,0.1502
1775187841.32,4.3,0.6657,0.4505
1775187842.528,5.5,0.6657,0.4505
1775187846.102,9.1,0.6657,0.4505
1775187851.681,14.7,0.6658,0.3003
1775187853.924,16.9,0.6658,0.3003
1775187894.511,57.5,0.6658,0.3003
1775187895.524,58.5,0.666,0.0
1775187900.027,63.0,0.666,0.0
1775187901.28,64.3,0.666,0.0
1775187906.867,69.9,0.666,0.0
1775187917.749,80.8,0.6661,-0.1502
1775187929.918,92.9,0.6661,-0.1502
1775187933.04,96.1,0.6662,-0.3003
1775187936.027,99.0,0.6663,-0.4505
1775187941.828,104.8,0.6663,-0.4505
1775187958.769,121.8,0.6663,-0.4505
1775187961.201,124.2,0.6662,-0.3003
1775187962.343,125.4,0.6661,-0.1502
1775187963.898,126.9,0.6662,-0.3003
1775187965.426,128.4,0.6661,-0.1502
1775187973.378,136.4,0.666,0.0
1775187979.912,142.9,0.666,0.0
1775187986.636,149.7,0.666,0.0
1775187998.083,161.1,0.666,0.0
1775188000.966,164.0,0.666,0.0
1775188002.569,165.6,0.6659,0.1502
1775188012.773,175.8,0.666,0.0
1775188013.895,176.9,0.666,0.0
1775188017.623,180.6,0.666,0.0
1775188020.418,183.4,0.6659,0.1502
1775188021.8,184.8,0.6659,0.1502
1775188023.037,186.1,0.6659,0.1502
1775188024.588,187.6,0.6659,0.1502
1775188035.096,198.1,0.6659,0.1502
1775188036.682,199.7,0.6659,0.1502
1775188039.461,202.5,0.6659,0.1502
1775188044.064,207.1,0.6658,0.3003
1775188046.009,209.0,0.6659,0.1502
1775188052.504,215.5,0.6659,0.1502
1775188054.701,217.7,0.6658,0.3003
1775188056.912,219.9,0.6659,0.1502
1775188061.271,224.3,0.6658,0.3003
1775188063.214,226.2,0.6659,0.1502
1775188067.876,230.9,0.6659,0.1502
1775188070.669,233.7,0.6659,0.1502
1775188073.254,236.3,0.6659,0.1502
1775188077.535,240.6,0.6659,0.1502
1775188079.548,242.6,0.6659,0.1502
1775188081.143,244.2,0.6658,0.3003
1775188086.18,249.2,0.6658,0.3003
1775188090.504,253.5,0.6659,0.1502
1775188092.391,255.4,0.6659,0.1502
1775188095.607,258.6,0.6659,0.1502
1775188103.111,266.1,0.6659,0.1502
1775188105.718,268.7,0.6659,0.1502
1775188123.024,286.0,0.6659,0.1502
1775188125.604,288.6,0.6659,0.1502
1775188127.185,290.2,0.6659,0.1502
1775188130.073,293.1,0.6658,0.3003
1775188131.796,294.8,0.6659,0.1502
1775188133.043,296.1,0.6659,0.1502
1775188136.612,299.6,0.6659,0.1502
1775188140.039,303.1,0.6659,0.1502
1775188141.483,304.5,0.6658,0.3003
1775188142.516,305.5,0.6658,0.3003
1775188145.786,308.8,0.6659,0.1502
1775188147.621,310.6,0.6659,0.1502
1775188150.074,313.1,0.6659,0.1502
1775188151.196,314.2,0.6659,0.1502
1775188152.85,315.9,0.6659,0.1502
1775188154.088,317.1,0.6659,0.1502
1775188156.316,319.3,0.6659,0.1502
1775188157.695,320.7,0.6659,0.1502
1775188160.078,323.1,0.6659,0.1502
1775188161.727,324.7,0.6659,0.1502
1775188165.068,328.1,0.6659,0.1502
1775188166.111,329.1,0.6659,0.1502
1775188167.644,330.7,0.6659,0.1502
1775188170.118,333.1,0.6659,0.1502
1775188174.125,337.1,0.6659,0.1502
1775188177.662,340.7,0.6659,0.1502
1775188181.781,344.8,0.6659,0.1502
