# symbol=BLURUSDT,side=LONG,entry_price=0.02025,exit_price=0.02037,exit_reason=trailing_decay,sl_price=0.020007,tp_price=0.02055375,leverage=10
ts,seconds,price,ret_margin_pct
1775194264.921,0.0,0.02025,0.0
1775194266.194,1.3,0.02023,-0.9877
1775194268.26,3.3,0.02023,-0.9877
1775194270.538,5.6,0.02023,-0.9877
1775194274.124,9.2,0.02024,-0.4938
1775194276.561,11.6,0.02025,0.0
1775194278.116,13.2,0.02026,0.4938
1775194279.165,14.2,0.02027,0.9877
1775194280.288,15.4,0.02027,0.9877
1775194282.284,17.4,0.02027,0.9877
1775194293.269,28.3,0.02028,1.4815
1775194298.033,33.1,0.02028,1.4815
1775194305.994,41.1,0.02028,1.4815
1775194307.085,42.2,0.02027,0.9877
1775194311.207,46.3,0.02028,1.4815
1775194314.618,49.7,0.02027,0.9877
1775194319.563,54.6,0.02027,0.9877
1775194320.612,55.7,0.02028,1.4815
1775194322.022,57.1,0.02026,0.4938
1775194324.694,59.8,0.02025,0.0
1775194326.129,61.2,0.02026,0.4938
1775194327.385,62.5,0.02027,0.9877
1775194328.44,63.5,0.02031,2.963
1775194329.469,64.5,0.02032,3.4568
1775194331.195,66.3,0.02034,4.4444
1775194332.731,67.8,0.02033,3.9506
1775194335.267,70.3,0.02032,3.4568
1775194338.048,73.1,0.02032,3.4568
1775194339.479,74.6,0.02031,2.963
1775194342.807,77.9,0.02031,2.963
1775194344.323,79.4,0.02031,2.963
1775194345.752,80.8,0.02032,3.4568
1775194348.295,83.4,0.0203,2.4691
1775194350.266,85.3,0.02032,3.4568
1775194351.418,86.5,0.02032,3.4568
1775194352.428,87.5,0.0203,2.4691
1775194353.788,88.9,0.02029,1.9753
1775194357.034,92.1,0.02029,1.9753
1775194361.192,96.3,0.02029,1.9753
1775194362.313,97.4,0.02031,2.963
1775194365.112,100.2,0.0203,2.4691
1775194369.692,104.8,0.02029,1.9753
1775194370.816,105.9,0.02028,1.4815
1775194374.908,110.0,0.02028,1.4815
1775194376.154,111.2,0.02029,1.9753
1775194378.66,113.7,0.0203,2.4691
1775194380.861,115.9,0.0203,2.4691
1775194382.135,117.2,0.0203,2.4691
1775194388.196,123.3,0.02029,1.9753
1775194390.355,125.4,0.02028,1.4815
1775194392.879,128.0,0.02026,0.4938
1775194396.116,131.2,0.02026,0.4938
1775194398.111,133.2,0.02028,1.4815
1775194404.404,139.5,0.02028,1.4815
1775194406.301,141.4,0.02027,0.9877
1775194408.713,143.8,0.02028,1.4815
1775194410.459,145.5,0.02028,1.4815
1775194414.196,149.3,0.0203,2.4691
1775194420.047,155.1,0.0203,2.4691
1775194421.069,156.1,0.0203,2.4691
1775194423.511,158.6,0.02033,3.9506
1775194430.907,166.0,0.02033,3.9506
1775194439.029,174.1,0.02032,3.4568
1775194440.789,175.9,0.02031,2.963
1775194441.965,177.0,0.02032,3.4568
1775194443.317,178.4,0.02033,3.9506
1775194447.628,182.7,0.02032,3.4568
1775194451.251,186.3,0.02031,2.963
1775194456.557,191.6,0.02031,2.963
1775194457.685,192.8,0.02032,3.4568
1775194460.024,195.1,0.02032,3.4568
1775194461.335,196.4,0.02032,3.4568
1775194464.147,199.2,0.02032,3.4568
1775194467.303,202.4,0.02032,3.4568
1775194471.976,207.1,0.02031,2.963
1775194474.761,209.8,0.02031,2.963
1775194477.024,212.1,0.0203,2.4691
1775194483.548,218.6,0.02031,2.963
1775194487.869,222.9,0.0203,2.4691
1775194490.005,225.1,0.02029,1.9753
1775194491.178,226.3,0.0203,2.4691
1775194493.727,228.8,0.02029,1.9753
1775194498.729,233.8,0.0203,2.4691
1775194500.984,236.1,0.0203,2.4691
1775194502.005,237.1,0.02031,2.963
1775194503.697,238.8,0.02031,2.963
1775194506.591,241.7,0.02032,3.4568
1775194509.825,244.9,0.02033,3.9506
1775194511.571,246.7,0.02033,3.9506
1775194512.974,248.1,0.02034,4.4444
1775194514.958,250.0,0.02035,4.9383
1775194519.511,254.6,0.02033,3.9506
1775194521.286,256.4,0.02034,4.4444
1775194522.456,257.5,0.02033,3.9506
1775194527.93,263.0,0.02034,4.4444
1775194529.562,264.6,0.02033,3.9506
1775194531.704,266.8,0.02033,3.9506
1775194532.958,268.0,0.02033,3.9506
1775194534.838,269.9,0.02033,3.9506
1775194536.497,271.6,0.02032,3.4568
1775194541.686,276.8,0.02032,3.4568
1775194543.571,278.6,0.02033,3.9506
1775194548.48,283.6,0.02033,3.9506
1775194552.873,288.0,0.02032,3.4568
1775194553.947,289.0,0.02034,4.4444
1775194555.72,290.8,0.02034,4.4444
1775194560.952,296.0,0.02033,3.9506
1775194562.091,297.2,0.02033,3.9506
1775194563.704,298.8,0.02033,3.9506
1775194564.995,300.1,0.02033,3.9506
1775194566.373,301.5,0.02032,3.4568
1775194568.656,303.7,0.02032,3.4568
1775194569.835,304.9,0.02038,6.4198
1775194571.611,306.7,0.02038,6.4198
1775194572.976,308.1,0.02037,5.9259
