# symbol=HFTUSDT,side=LONG,entry_price=0.01481,exit_price=0.01468,exit_reason=lifecycle_reversal,sl_price=0.0145138,tp_price=0.01503215,leverage=10
ts,seconds,price,ret_margin_pct
1775188628.49,0.0,0.01481,0.0
1775188629.654,1.2,0.0148,-0.6752
1775188630.986,2.5,0.01481,0.0
1775188632.175,3.7,0.01481,0.0
1775188633.454,5.0,0.01481,0.0
1775188634.663,6.2,0.01479,-1.3504
1775188635.946,7.5,0.0148,-0.6752
1775188637.905,9.4,0.01479,-1.3504
1775188639.49,11.0,0.01479,-1.3504
1775188643.084,14.6,0.0148,-0.6752
1775188649.106,20.6,0.01479,-1.3504
1775188657.474,29.0,0.01478,-2.0257
1775188658.966,30.5,0.0148,-0.6752
1775188660.939,32.4,0.01479,-1.3504
1775188665.811,37.3,0.01478,-2.0257
1775188668.674,40.2,0.01479,-1.3504
1775188672.671,44.2,0.01479,-1.3504
1775188674.028,45.5,0.0148,-0.6752
1775188675.807,47.3,0.0148,-0.6752
1775188676.819,48.3,0.01478,-2.0257
1775188679.131,50.6,0.01479,-1.3504
1775188680.471,52.0,0.0148,-0.6752
1775188681.993,53.5,0.01478,-2.0257
1775188688.514,60.0,0.01478,-2.0257
1775188690.187,61.7,0.0148,-0.6752
1775188692.438,63.9,0.01483,1.3504
1775188693.733,65.2,0.01481,0.0
1775188697.401,68.9,0.0148,-0.6752
1775188706.565,78.1,0.01479,-1.3504
1775188713.789,85.3,0.0148,-0.6752
1775188716.25,87.8,0.0148,-0.6752
1775188717.924,89.4,0.0148,-0.6752
1775188720.337,91.8,0.01481,0.0
1775188724.668,96.2,0.01479,-1.3504
1775188726.536,98.0,0.01479,-1.3504
1775188732.563,104.1,0.01481,0.0
1775188735.711,107.2,0.0148,-0.6752
1775188737.644,109.2,0.01481,0.0
1775188740.714,112.2,0.01481,0.0
1775188741.726,113.2,0.01481,0.0
1775188744.628,116.1,0.01479,-1.3504
1775188750.804,122.3,0.01478,-2.0257
1775188752.516,124.0,0.01479,-1.3504
1775188754.669,126.2,0.01478,-2.0257
1775188757.712,129.2,0.01479,-1.3504
1775188758.929,130.4,0.01479,-1.3504
1775188761.039,132.5,0.01478,-2.0257
1775188763.851,135.4,0.01478,-2.0257
1775188767.655,139.2,0.01477,-2.7009
1775188773.905,145.4,0.01475,-4.0513
1775188775.067,146.6,0.01473,-5.4018
1775188776.479,148.0,0.01472,-6.077
1775188780.024,151.5,0.01472,-6.077
1775188781.136,152.6,0.01471,-6.7522
1775188789.723,161.2,0.01469,-8.1026
1775188794.346,165.9,0.01467,-9.4531
1775188796.184,167.7,0.01468,-8.7779
1775188797.546,169.1,0.01468,-8.7779
