# symbol=JUPUSDT,side=LONG,entry_price=0.1642,exit_price=0.1642,exit_reason=lifecycle_reversal,sl_price=0.1622296,tp_price=0.166663,leverage=10
ts,seconds,price,ret_margin_pct
1775205066.527,0.0,0.1642,0.0
1775205070.134,3.6,0.1643,0.609
1775205072.177,5.6,0.1642,0.0
1775205076.012,9.5,0.1642,0.0
1775205077.553,11.0,0.1643,0.609
1775205079.399,12.9,0.1643,0.609
1775205081.709,15.2,0.1642,0.0
1775205086.708,20.2,0.1642,0.0
1775205095.827,29.3,0.1643,0.609
1775205103.056,36.5,0.1645,1.827
1775205104.976,38.4,0.1645,1.827
1775205107.714,41.2,0.1644,1.218
1775205108.969,42.4,0.1644,1.218
1775205117.514,51.0,0.1644,1.218
1775205119.745,53.2,0.1644,1.218
1775205121.335,54.8,0.1644,1.218
1775205122.654,56.1,0.1645,1.827
1775205127.392,60.9,0.1644,1.218
1775205129.398,62.9,0.1643,0.609
1775205132.413,65.9,0.1643,0.609
1775205136.701,70.2,0.1642,0.0
1775205143.474,76.9,0.1643,0.609
1775205145.704,79.2,0.1642,0.0
1775205147.702,81.2,0.1641,-0.609
1775205149.136,82.6,0.1642,0.0
1775205151.706,85.2,0.1641,-0.609
1775205153.276,86.7,0.1642,0.0
1775205157.401,90.9,0.1643,0.609
1775205167.426,100.9,0.1643,0.609
1775205172.704,106.2,0.1643,0.609
1775205177.344,110.8,0.1643,0.609
1775205181.709,115.2,0.1641,-0.609
1775205191.703,125.2,0.1641,-0.609
1775205194.704,128.2,0.1641,-0.609
1775205197.702,131.2,0.164,-1.218
1775205202.717,136.2,0.1641,-0.609
1775205204.866,138.3,0.1642,0.0
1775205206.558,140.0,0.1641,-0.609
1775205211.703,145.2,0.164,-1.218
1775205218.836,152.3,0.164,-1.218
1775205222.708,156.2,0.1638,-2.4361
1775205224.733,158.2,0.1638,-2.4361
1775205226.707,160.2,0.1638,-2.4361
1775205229.854,163.3,0.1639,-1.827
1775205231.701,165.2,0.1638,-2.4361
1775205236.702,170.2,0.1638,-2.4361
1775205237.717,171.2,0.1638,-2.4361
1775205241.383,174.9,0.1639,-1.827
1775205242.816,176.3,0.1639,-1.827
1775205244.073,177.5,0.1639,-1.827
1775205246.7,180.2,0.1639,-1.827
1775205248.455,181.9,0.1639,-1.827
1775205251.707,185.2,0.1639,-1.827
1775205254.033,187.5,0.1639,-1.827
1775205256.166,189.6,0.164,-1.218
1775205262.618,196.1,0.164,-1.218
1775205266.423,199.9,0.1638,-2.4361
1775205268.087,201.6,0.1638,-2.4361
1775205272.347,205.8,0.1639,-1.827
1775205277.707,211.2,0.1639,-1.827
1775205284.702,218.2,0.1639,-1.827
1775205287.0,220.5,0.1639,-1.827
1775205291.939,225.4,0.1638,-2.4361
1775205294.159,227.6,0.1639,-1.827
1775205296.707,230.2,0.1639,-1.827
1775205300.654,234.1,0.1638,-2.4361
1775205306.353,239.8,0.1639,-1.827
1775205307.702,241.2,0.1639,-1.827
1775205309.705,243.2,0.1639,-1.827
1775205316.707,250.2,0.1639,-1.827
1775205326.203,259.7,0.164,-1.218
1775205331.702,265.2,0.164,-1.218
1775205336.888,270.4,0.164,-1.218
1775205338.547,272.0,0.164,-1.218
1775205344.701,278.2,0.164,-1.218
1775205348.705,282.2,0.1641,-0.609
1775205352.7,286.2,0.1641,-0.609
1775205356.109,289.6,0.1641,-0.609
1775205361.167,294.6,0.1641,-0.609
1775205362.471,295.9,0.1641,-0.609
1775205363.846,297.3,0.164,-1.218
1775205367.178,300.7,0.164,-1.218
1775205371.707,305.2,0.164,-1.218
1775205376.7,310.2,0.164,-1.218
1775205379.195,312.7,0.1641,-0.609
1775205380.298,313.8,0.1642,0.0
1775205382.643,316.1,0.1643,0.609
1775205384.699,318.2,0.1643,0.609
1775205385.792,319.3,0.1643,0.609
1775205392.641,326.1,0.1643,0.609
1775205394.191,327.7,0.1643,0.609
1775205396.405,329.9,0.1643,0.609
1775205398.093,331.6,0.1642,0.0
1775205401.705,335.2,0.1642,0.0
1775205403.504,337.0,0.1643,0.609
1775205406.703,340.2,0.1642,0.0
1775205409.7,343.2,0.1642,0.0
1775205413.474,346.9,0.1643,0.609
1775205419.054,352.5,0.1643,0.609
1775205422.285,355.8,0.1643,0.609
1775205423.787,357.3,0.1642,0.0
1775205425.626,359.1,0.1642,0.0
