# symbol=MUSDT,side=SHORT,entry_price=2.6017,exit_price=2.6055,exit_reason=lifecycle_reversal,sl_price=2.6329204,tp_price=2.5626745,leverage=10
ts,seconds,price,ret_margin_pct
1775194748.266,0.0,2.6017,0.0
1775194749.999,1.7,2.5985,1.23
1775194751.53,3.3,2.5965,1.9987
1775194755.148,6.9,2.5959,2.2293
1775194757.219,9.0,2.5966,1.9603
1775194759.775,11.5,2.5967,1.9218
1775194763.907,15.6,2.5966,1.9603
1775194768.269,20.0,2.5968,1.8834
1775194781.126,32.9,2.5967,1.9218
1775194783.298,35.0,2.5958,2.2677
1775194797.471,49.2,2.5945,2.7674
1775194799.565,51.3,2.5915,3.9205
1775194800.611,52.3,2.5917,3.8436
1775194801.652,53.4,2.5909,4.1511
1775194803.405,55.1,2.5895,4.6892
1775194807.026,58.8,2.5906,4.2664
1775194808.135,59.9,2.5892,4.8046
1775194810.163,61.9,2.5901,4.4586
1775194811.543,63.3,2.5894,4.7277
1775194812.606,64.3,2.5904,4.3433
1775194817.092,68.8,2.5892,4.8046
1775194822.866,74.6,2.5894,4.7277
1775194827.107,78.8,2.5914,3.9589
1775194828.231,80.0,2.5905,4.3049
1775194829.45,81.2,2.5905,4.3049
1775194831.622,83.4,2.5905,4.3049
1775194833.794,85.5,2.5906,4.2664
1775194836.521,88.3,2.5913,3.9974
1775194838.192,89.9,2.594,2.9596
1775194839.254,91.0,2.5941,2.9212
1775194840.33,92.1,2.5951,2.5368
1775194841.373,93.1,2.5964,2.0371
1775194842.92,94.7,2.5956,2.3446
1775194844.33,96.1,2.5959,2.2293
1775194845.449,97.2,2.5961,2.1524
1775194846.455,98.2,2.5965,1.9987
1775194848.307,100.0,2.5963,2.0756
1775194849.792,101.5,2.5964,2.0371
1775194850.801,102.5,2.5962,2.114
1775194856.553,108.3,2.5969,1.8449
1775194859.098,110.8,2.5982,1.3453
1775194860.536,112.3,2.5988,1.1147
1775194862.084,113.8,2.5982,1.3453
1775194863.259,115.0,2.5996,0.8072
1775194864.526,116.3,2.6023,-0.2306
1775194865.708,117.4,2.6028,-0.4228
1775194868.305,120.0,2.6041,-0.9225
1775194869.922,121.7,2.6044,-1.0378
1775194871.561,123.3,2.604,-0.884
1775194873.846,125.6,2.6045,-1.0762
1775194874.917,126.7,2.6055,-1.4606
1775194876.379,128.1,2.6056,-1.499
1775194877.662,129.4,2.6055,-1.4606
1775194878.701,130.4,2.6055,-1.4606
1775194878.828,130.6,2.6055,-1.4606
