# symbol=ONUSDT,side=LONG,entry_price=0.08404,exit_price=0.08514,exit_reason=trailing_expansion,sl_price=0.08387192,tp_price=0.08530059999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185249.206,0.0,0.08404,0.0
1775185250.983,1.8,0.08398,-0.7139
1775185252.03,2.8,0.08396,-0.9519
1775185253.104,3.9,0.08405,0.119
1775185254.254,5.0,0.08395,-1.0709
1775185255.707,6.5,0.08406,0.238
1775185259.748,10.5,0.08406,0.238
1775185261.506,12.3,0.08405,0.119
1775185262.56,13.4,0.0841,0.7139
1775185264.241,15.0,0.08404,0.0
1775185265.495,16.3,0.08406,0.238
1775185266.592,17.4,0.08409,0.595
1775185267.649,18.4,0.084,-0.476
1775185271.294,22.1,0.08404,0.0
1775185273.739,24.5,0.08399,-0.595
1775185278.071,28.9,0.08407,0.357
1775185281.336,32.1,0.084,-0.476
1775185282.391,33.2,0.08416,1.4279
1775185283.459,34.3,0.08415,1.3089
1775185287.991,38.8,0.08416,1.4279
1775185289.195,40.0,0.08414,1.1899
1775185291.767,42.6,0.08414,1.1899
1775185293.025,43.8,0.08415,1.3089
1775185294.667,45.5,0.0843,3.0938
1775185295.698,46.5,0.08446,4.9976
1775185296.921,47.7,0.0845,5.4736
1775185298.041,48.8,0.08454,5.9495
1775185299.552,50.3,0.08456,6.1875
1775185301.728,52.5,0.08456,6.1875
1775185302.806,53.6,0.0846,6.6635
1775185303.852,54.6,0.08459,6.5445
1775185306.715,57.5,0.08459,6.5445
1775185307.851,58.6,0.08465,7.2584
1775185308.868,59.7,0.08452,5.7116
1775185310.322,61.1,0.08456,6.1875
1775185315.03,65.8,0.08458,6.4255
1775185317.846,68.6,0.08457,6.3065
1775185318.97,69.8,0.08452,5.7116
1775185319.972,70.8,0.08455,6.0685
1775185321.977,72.8,0.08459,6.5445
1775185324.322,75.1,0.08462,6.9015
1775185325.944,76.7,0.08468,7.6154
1775185327.208,78.0,0.08457,6.3065
1775185328.267,79.1,0.0845,5.4736
1775185329.355,80.1,0.08446,4.9976
1775185330.468,81.3,0.08447,5.1166
1775185333.474,84.3,0.08449,5.3546
1775185336.451,87.2,0.08451,5.5926
1775185338.964,89.8,0.08456,6.1875
1775185346.571,97.4,0.08463,7.0205
1775185352.495,103.3,0.08463,7.0205
1775185354.482,105.3,0.08462,6.9015
1775185355.908,106.7,0.08457,6.3065
1775185356.98,107.8,0.08444,4.7596
1775185358.803,109.6,0.08447,5.1166
1775185360.067,110.9,0.08447,5.1166
1775185362.484,113.3,0.0845,5.4736
1775185366.708,117.5,0.08446,4.9976
1775185369.211,120.0,0.08446,4.9976
1775185371.671,122.5,0.08447,5.1166
1775185373.47,124.3,0.08443,4.6406
1775185374.752,125.5,0.08443,4.6406
1775185378.204,129.0,0.08441,4.4027
1775185381.282,132.1,0.08441,4.4027
1775185382.95,133.7,0.08441,4.4027
1775185386.018,136.8,0.08442,4.5217
1775185388.19,139.0,0.08444,4.7596
1775185389.216,140.0,0.08446,4.9976
1775185391.474,142.3,0.08453,5.8306
1775185396.863,147.7,0.08454,5.9495
1775185397.898,148.7,0.08458,6.4255
1775185399.999,150.8,0.08462,6.9015
1775185401.16,152.0,0.08458,6.4255
1775185402.913,153.7,0.08462,6.9015
1775185404.556,155.3,0.08474,8.3294
1775185409.354,160.1,0.08472,8.0914
1775185411.98,162.8,0.08472,8.0914
1775185413.634,164.4,0.08474,8.3294
1775185415.168,166.0,0.08479,8.9243
1775185416.644,167.4,0.08476,8.5673
1775185418.502,169.3,0.08476,8.5673
1775185420.395,171.2,0.08474,8.3294
1775185421.611,172.4,0.08476,8.5673
1775185426.772,177.6,0.08476,8.5673
1775185428.096,178.9,0.0847,7.8534
1775185429.362,180.2,0.08471,7.9724
1775185430.522,181.3,0.08476,8.5673
1775185431.541,182.3,0.08504,11.8991
1775185434.082,184.9,0.08503,11.7801
1775185435.466,186.3,0.08504,11.8991
1775185436.657,187.5,0.085,11.4231
1775185437.765,188.6,0.08515,13.208
1775185439.629,190.4,0.08514,13.089
1775185440.078,190.9,0.08514,13.089
