# symbol=QTUMUSDT,side=LONG,entry_price=0.941,exit_price=0.943,exit_reason=lifecycle_reversal,sl_price=0.929708,tp_price=0.9551149999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775204993.735,0.0,0.941,0.0
1775204996.788,3.1,0.94,-1.0627
1775205006.494,12.8,0.941,0.0
1775205007.913,14.2,0.942,1.0627
1775205009.037,15.3,0.941,0.0
1775205029.495,35.8,0.942,1.0627
1775205031.094,37.4,0.943,2.1254
1775205034.612,40.9,0.942,1.0627
1775205036.052,42.3,0.942,1.0627
1775205047.623,53.9,0.942,1.0627
1775205060.583,66.8,0.944,3.1881
1775205062.156,68.4,0.945,4.2508
1775205065.991,72.3,0.944,3.1881
1775205072.247,78.5,0.943,2.1254
1775205073.308,79.6,0.943,2.1254
1775205081.172,87.4,0.942,1.0627
1775205094.494,100.8,0.941,0.0
1775205098.992,105.3,0.941,0.0
1775205120.545,126.8,0.942,1.0627
1775205121.793,128.1,0.942,1.0627
1775205122.901,129.2,0.943,2.1254
1775205124.578,130.8,0.943,2.1254
