# symbol=STOUSDT,side=SHORT,entry_price=0.19108,exit_price=0.193,exit_reason=dynamic_vol_stop,sl_price=0.19337296,tp_price=0.1882138,leverage=10
ts,seconds,price,ret_margin_pct
1775195370.714,0.0,0.19108,0.0
1775195371.725,1.0,0.19047,3.1924
1775195372.739,2.0,0.18997,5.8091
1775195373.748,3.0,0.18999,5.7044
1775195374.797,4.1,0.18982,6.5941
1775195375.807,5.1,0.18972,7.1174
1775195376.917,6.2,0.18987,6.3324
1775195377.957,7.2,0.18978,6.8034
1775195378.96,8.2,0.18957,7.9024
1775195380.052,9.3,0.18989,6.2278
1775195381.158,10.4,0.18973,7.0651
1775195382.247,11.5,0.18951,8.2165
1775195383.313,12.6,0.18953,8.1118
1775195384.333,13.6,0.19047,3.1924
1775195385.335,14.6,0.19059,2.5644
1775195386.343,15.6,0.1907,1.9887
1775195387.345,16.6,0.19053,2.8784
1775195388.366,17.7,0.19057,2.669
1775195389.382,18.7,0.19068,2.0934
1775195390.583,19.9,0.19068,2.0934
1775195391.622,20.9,0.19074,1.7794
1775195392.697,22.0,0.19082,1.3607
1775195393.803,23.1,0.19083,1.3084
1775195394.808,24.1,0.19115,-0.3663
1775195395.816,25.1,0.19121,-0.6803
1775195396.858,26.1,0.19143,-1.8317
1775195397.882,27.2,0.19106,0.1047
1775195398.882,28.2,0.19105,0.157
1775195399.927,29.2,0.19157,-2.5644
1775195400.956,30.2,0.19092,0.8373
1775195401.961,31.2,0.19085,1.2037
1775195403.046,32.3,0.1908,1.4654
1775195404.047,33.3,0.19134,-1.3607
1775195405.075,34.4,0.19112,-0.2093
1775195406.143,35.4,0.19103,0.2617
1775195407.149,36.4,0.19109,-0.0523
1775195408.174,37.5,0.1908,1.4654
1775195409.176,38.5,0.19068,2.0934
1775195410.223,39.5,0.19081,1.413
1775195411.23,40.5,0.19078,1.57
1775195412.377,41.7,0.19079,1.5177
1775195413.383,42.7,0.19112,-0.2093
1775195414.495,43.8,0.19119,-0.5757
1775195415.51,44.8,0.19087,1.099
1775195416.536,45.8,0.19087,1.099
1775195417.59,46.9,0.19092,0.8373
1775195418.628,47.9,0.19095,0.6803
1775195419.657,48.9,0.19027,4.2391
1775195420.698,50.0,0.19057,2.669
1775195421.722,51.0,0.19046,3.2447
1775195422.741,52.0,0.19001,5.5997
1775195423.877,53.2,0.19002,5.5474
1775195424.881,54.2,0.19018,4.7101
1775195425.957,55.2,0.19003,5.4951
1775195426.976,56.3,0.19002,5.5474
1775195428.023,57.3,0.19019,4.6577
1775195429.117,58.4,0.19011,5.0764
1775195430.156,59.4,0.1903,4.0821
1775195431.162,60.4,0.19057,2.669
1775195432.311,61.6,0.19055,2.7737
1775195433.332,62.6,0.19067,2.1457
1775195435.208,64.5,0.19061,2.4597
1775195436.282,65.6,0.19067,2.1457
1775195437.457,66.7,0.19048,3.14
1775195438.646,67.9,0.19072,1.884
1775195439.692,69.0,0.19073,1.8317
1775195440.803,70.1,0.19073,1.8317
1775195441.841,71.1,0.1907,1.9887
1775195442.844,72.1,0.19112,-0.2093
1775195443.848,73.1,0.19184,-3.9774
1775195444.856,74.1,0.19184,-3.9774
1775195445.901,75.2,0.19187,-4.1344
1775195446.961,76.2,0.19206,-5.1287
1775195447.998,77.3,0.19225,-6.1231
1775195448.999,78.3,0.19255,-7.6931
1775195450.014,79.3,0.19242,-7.0128
1775195451.032,80.3,0.19281,-9.0538
1775195452.04,81.3,0.19281,-9.0538
1775195453.071,82.4,0.19266,-8.2688
1775195454.179,83.5,0.19252,-7.5361
1775195455.353,84.6,0.19267,-8.3211
1775195456.473,85.8,0.19242,-7.0128
1775195457.562,86.8,0.19256,-7.7454
1775195458.669,88.0,0.19256,-7.7454
1775195459.696,89.0,0.19247,-7.2744
1775195460.723,90.0,0.19282,-9.1061
1775195461.743,91.0,0.19275,-8.7398
1775195462.836,92.1,0.19261,-8.0071
1775195464.008,93.3,0.19285,-9.2631
1775195465.076,94.4,0.19286,-9.3155
1775195466.141,95.4,0.19196,-4.6054
1775195467.146,96.4,0.1922,-5.8614
1775195468.266,97.6,0.19273,-8.6351
1775195469.739,99.0,0.19279,-8.9491
1775195471.298,100.6,0.19279,-8.9491
1775195471.905,101.2,0.193,-10.0481
